timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1672066092.808082,4,10.0.0.1505010.0.0.10485546,10.0.0.1,5050,10.0.0.10,48554,6,-1,-1,3,553000000,20,100,0,91438,6110060,30479.333333333332,0.0001653490054249548,2036686.6666666667,0.011048933092224232,0
1672066092.808082,4,10.0.0.104855410.0.0.150506,10.0.0.10,48554,10.0.0.1,5050,6,-1,-1,3,574000000,20,100,0,187418,9066982004,62472.666666666664,0.0003265121951219512,3022327334.6666665,15.796135895470384,0
1672066092.808082,4,10.0.0.104855410.0.0.950501,10.0.0.10,48554,10.0.0.9,5050,1,0,8,3,582000000,20,100,0,2,196,0.6666666666666666,3.436426116838488e-09,65.33333333333333,3.367697594501718e-07,0
1672066092.808082,4,10.0.0.94855410.0.0.1050501,10.0.0.9,48554,10.0.0.10,5050,1,0,0,3,573000000,20,100,0,2,196,0.6666666666666666,3.4904013961605584e-09,65.33333333333333,3.4205933682373473e-07,0
1672066092.810465,2,10.0.0.1505010.0.0.10485546,10.0.0.1,5050,10.0.0.10,48554,6,-1,-1,3,558000000,20,100,0,91427,6109334,30475.666666666668,0.00016384767025089605,2036444.6666666667,0.01094862724014337,0
1672066092.810465,2,10.0.0.104855410.0.0.150506,10.0.0.10,48554,10.0.0.1,5050,6,-1,-1,3,567000000,20,100,0,187428,9066982664,62476.0,0.0003305608465608466,3022327554.6666665,15.991151082892417,0
1672066092.810864,3,10.0.0.1505010.0.0.10485546,10.0.0.1,5050,10.0.0.10,48554,6,-1,-1,3,555000000,20,100,0,91427,6109334,30475.666666666668,0.00016473333333333334,2036444.6666666667,0.01100780900900901,0
1672066092.810864,3,10.0.0.104855410.0.0.150506,10.0.0.10,48554,10.0.0.1,5050,6,-1,-1,3,569000000,20,100,0,187418,9066982004,62472.666666666664,0.00032938137082601053,3022327334.6666665,15.934942010544816,0
1672066092.810864,3,10.0.0.104855410.0.0.950501,10.0.0.10,48554,10.0.0.9,5050,1,0,8,3,580000000,20,100,0,2,196,0.6666666666666666,3.4482758620689654e-09,65.33333333333333,3.379310344827586e-07,0
1672066092.810864,3,10.0.0.94855410.0.0.1050501,10.0.0.9,48554,10.0.0.10,5050,1,0,0,3,575000000,20,100,0,2,196,0.6666666666666666,3.4782608695652172e-09,65.33333333333333,3.408695652173913e-07,0
1672066092.814016,1,10.0.0.1505010.0.0.10485546,10.0.0.1,5050,10.0.0.10,48554,6,-1,-1,3,561000000,20,100,0,91428,6109400,30476.0,0.00016297326203208555,2036466.6666666667,0.010890196078431372,0
1672066092.814016,1,10.0.0.104855410.0.0.150506,10.0.0.10,48554,10.0.0.1,5050,6,-1,-1,3,563000000,20,100,0,187428,9066982664,62476.0,0.00033290941385435166,3022327554.6666665,16.104764944937834,0
1672066102.811227,4,10.0.0.1505010.0.0.10485546,10.0.0.1,5050,10.0.0.10,48554,6,-1,-1,13,557000000,20,100,0,230139,15588774,17703.0,0.0004131759425493716,1199136.4615384615,0.027987026929982048,0
1672066102.811227,4,10.0.0.104855410.0.0.150506,10.0.0.10,48554,10.0.0.1,5050,6,-1,-1,13,578000000,20,100,0,569005,29157672370,43769.61538461538,0.0009844377162629757,2242897874.6153846,50.445799948096884,0
1672066102.811227,4,10.0.0.103930610.0.0.1505117,10.0.0.10,39306,10.0.0.1,5051,17,-1,-1,3,494000000,20,100,0,231,349272,77.0,4.6761133603238865e-07,116424.0,0.0007070283400809717,0
1672066102.811227,4,10.0.0.103930610.0.0.950511,10.0.0.10,39306,10.0.0.9,5051,1,0,8,13,586000000,20,100,0,12,1176,0.9230769230769231,2.0477815699658704e-08,90.46153846153847,2.006825938566553e-06,0
1672066102.811227,4,10.0.0.93930610.0.0.1050511,10.0.0.9,39306,10.0.0.10,5051,1,0,0,13,577000000,20,100,0,12,1176,0.9230769230769231,2.0797227036395147e-08,90.46153846153847,2.0381282495667242e-06,0
1672066102.814393,2,10.0.0.1505010.0.0.10485546,10.0.0.1,5050,10.0.0.10,48554,6,-1,-1,13,562000000,20,100,0,230129,15588114,17702.23076923077,0.00040948220640569394,1199085.6923076923,0.02773685765124555,0
1672066102.814393,2,10.0.0.104855410.0.0.150506,10.0.0.10,48554,10.0.0.1,5050,6,-1,-1,13,571000000,20,100,0,569015,29157673030,43770.38461538462,0.000996523642732049,2242897925.3846154,51.064225971978985,0
1672066102.814393,2,10.0.0.103930610.0.0.1505117,10.0.0.10,39306,10.0.0.1,5051,17,-1,-1,3,479000000,20,100,0,231,349272,77.0,4.822546972860125e-07,116424.0,0.0007291691022964509,0
1672066102.814772,3,10.0.0.1505010.0.0.10485546,10.0.0.1,5050,10.0.0.10,48554,6,-1,-1,13,559000000,20,100,0,230129,15588114,17702.23076923077,0.00041167978533094814,1199085.6923076923,0.027885713774597497,0
1672066102.814772,3,10.0.0.104855410.0.0.150506,10.0.0.10,48554,10.0.0.1,5050,6,-1,-1,13,573000000,20,100,0,569005,29157672370,43769.61538461538,0.0009930279232111692,2242897874.6153846,50.88599017452007,0
1672066102.814772,3,10.0.0.103930610.0.0.1505117,10.0.0.10,39306,10.0.0.1,5051,17,-1,-1,3,489000000,20,100,0,231,349272,77.0,4.723926380368098e-07,116424.0,0.0007142576687116564,0
1672066102.814772,3,10.0.0.103930610.0.0.950511,10.0.0.10,39306,10.0.0.9,5051,1,0,8,13,584000000,20,100,0,12,1176,0.9230769230769231,2.0547945205479452e-08,90.46153846153847,2.013698630136986e-06,0
